MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
24TAAS,24TAAS,24TAAS,232.70.6.103,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 1,0,1 Audio 2.0,Port 0,Port 1000
2MMND,2MMND,2MMND,232.70.1.87,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 1,0,1 Audio 2.0,Port 1,Port 1001
4FUFIDA,4FUFIDA,4FUFIDA,232.23.13.46,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 1,1,"1:Audio 2.0 2:EAC3,qaa",Port 2,Port 1002
4FUNHIT,4FUNHIT,4FUNHIT,232.23.13.47,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 1,1,"1:Audio 2.0 2:EAC3,qaa",Port 3,Port 1003
4FUNPL,4FUNPL,4FUNPL,232.23.13.45,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 1,1,"1:Audio 2.0 2:EAC3,qaa",Port 4,Port 1004
9XTAS,9XTAS,9XTAS,232.20.97.176,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 1,0,1 Audio 2.0,Port 5,Port 1005
A&ESTR,A&E,AESTR,232.70.3.1,1234,172.31.27.21,172.31.28.21,AandE,Yes,Sentry 1,AC3,1:Audio2.0 2:AC3,Port 6,Port 1006
AAGUSA,AAGTV,AAGTV,232.20.96.44,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,1 Audio 2.0,Port 7,Port 1007
AAJENT,AAJET,AAJENT,232.20.97.205,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 1,0,1 Audio 2.0,Port 8,Port 1008
AAJTK,AAJTK,AAJTK,232.20.214.43,3101,172.31.1.24,172.31.2.24,Che Tiger Tech,Yes,Sentry 1,0,1:Audio2.0 2:Audio2.0,Port 9,Port 1009
