MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
24TAAS,24TAAS,24TAAS,232.70.6.103,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 1,,,Port 0,Port 1000,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
2MMND,2MMND,2MMND,232.70.1.87,3101,172.31.27.71,172.31.28.71,BUNDLE,NOBUNDLE,Yes,Sentry 1,,,Port 1,Port 1001,Outside,,,,,,Customer,2M MONDE,,Building 2,YES,ok,ok
4FUFIDA,4FUFIDA,4FUFIDA,232.23.13.46,3101,172.31.1.24,172.31.2.24,BUNDLE,NEXTOLOGIES,Yes,Sentry 1,,,Port 2,Port 1002,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,4FUN FIT & DANCE,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
4FUNHIT,4FUNHIT,4FUNHIT,232.23.13.47,3101,172.31.1.24,172.31.2.24,BUNDLE,NEXTOLOGIES,Yes,Sentry 1,,,Port 3,Port 1003,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,4FUN HITS,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
4FUNPL,4FUNPL,4FUNPL,232.23.13.45,3101,172.31.1.24,172.31.2.24,BUNDLE,NEXTOLOGIES,Yes,Sentry 1,,,Port 4,Port 1004,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,4FUN,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
9XTAS,9XTAS,9XTAS,232.20.97.176,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 1,,,Port 5,Port 1005,Encoder,DMG1,DMG2,ENCODER,,,Customer,9X TASHAN,,Cheyenne Service,YES,ok,ok
A&ESTR,A&E,AESTR,232.70.3.1,1234,172.31.27.21,172.31.28.21,BUNDLE,AandE,Yes,Sentry 1,,,Port 6,Port 1006,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
AAGUSA,AAGTV,AAGTV,232.20.96.44,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 1,,,Port 7,Port 1007,Encoder,DMG1,DMG2,ENCODER,,,Customer,AAG Television,,Cheyenne Service,YES,ok,ok
AAJENT,AAJET,AAJENT,232.20.97.205,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 1,,,Port 8,Port 1008,Encoder,DMG1,DMG2,ENCODER,,,Customer,AAJ Entertainment,,Cheyenne Service,YES,ok,ok
AAJTK,AAJTK,AAJTK,232.20.214.43,3101,172.31.1.24,172.31.2.24,BUNDLE,Che Tiger Tech,Yes,Sentry 1,,,Port 9,Port 1009,Encoder,DMG1,DMG2,ENCODER,,,Customer,Aaj Tak,,Cheyenne Service,YES,ok,ok
AASTH,ASTHA,AASTH,232.20.214.16,3101,172.31.1.24,172.31.2.24,BUNDLE,Che BT Tower,Yes,Sentry 1,,,Port 10,Port 1010,Encoder,DMG1,DMG2,ENCODER,,,Customer,Aastha TV,,Cheyenne Service,YES,ok,ok
AATH,AATH,AATH,232.20.96.20,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 1,,,Port 11,Port 1011,Encoder,DMG1,DMG2,ENCODER,,,Customer,AATH,,Cheyenne Service,YES,ok,ok
